rat_round,rat,r_cnt,price,price_$,dist_mi,dist_km,time_min,time_sec,name,id,score,rank
4,4.2,16,45,$$$,8.1,13.109,20,1200,French #1,Rest_1,0,NA
4.5,4.6,694,10,$,7.2,11.507,23,1402,French #2,Rest_2,0,NA
3.5,3.6,867,20,$$,7,11.272,23,1387,French #3,Rest_3,0,NA
3.5,3.5,47,20,$$,18.2,29.23,32,1922,French #4,Rest_4,0,NA
4,3.9,463,20,$$,2.7,4.378,14,829,French #5,Rest_5,0,NA
4.5,4.3,120,45,$$$,5,8.027,16,964,French #6,Rest_6,0,NA
4,3.9,315,20,$$,8.2,13.132,18,1050,French #7,Rest_7,0,NA
4.5,4.3,128,20,$$,1.8,2.945,11,672,French #8,Rest_8,0,NA
4,4.1,823,20,$$,1.8,2.966,12,732,French #9,Rest_9,0,NA
4,3.9,866,20,$$,1.7,2.697,11,648,French #10,Rest_10,0,NA
4,3.9,348,45,$$$,1.6,2.597,12,692,French #11,Rest_11,0,NA
3.5,3.7,529,20,$$,1.6,2.597,12,692,French #12,Rest_12,0,NA
3.5,3.6,182,20,$$,1.8,2.96,12,732,French #13,Rest_13,0,NA
3.5,3.7,402,45,$$$,5,8.023,16,964,French #14,Rest_14,0,NA
4.5,4.7,121,20,$$,1.5,2.434,10,607,French #15,Rest_15,0,NA
4,4,284,45,$$$,1.3,2.042,8,482,French #16,Rest_16,0,NA
4,3.9,801,45,$$$,1.4,2.203,8,498,French #17,Rest_17,0,NA
4,3.8,312,20,$$,1.2,1.892,8,455,French #18,Rest_18,0,NA
3.5,3.6,361,20,$$,1.2,1.879,8,482,French #19,Rest_19,0,NA
4,4,126,45,$$$,6.3,10.119,16,946,French #20,Rest_20,0,NA
4,4,59,80,$$$$,0.3,0.421,3,178,French #21,Rest_21,0,NA
4,4.1,1007,20,$$,0.1,0.201,1,89,French #22,Rest_22,0,NA
4,3.9,190,20,$$,6.5,10.465,17,990,French #23,Rest_23,0,NA
4.5,4.3,98,20,$$,2.6,4.174,10,616,French #24,Rest_24,0,NA
4,3.8,166,20,$$,1.4,2.329,8,472,French #25,Rest_25,0,NA
3.5,3.7,278,20,$$,1.4,2.256,8,470,French #26,Rest_26,0,NA
4,4.1,179,20,$$,6.3,10.09,18,1086,French #27,Rest_27,0,NA
4,4.2,102,20,$$,6.8,10.914,18,1057,French #28,Rest_28,0,NA
4,4,178,45,$$$,1.5,2.416,7,430,French #29,Rest_29,0,NA
3.5,3.6,263,20,$$,10.5,16.882,20,1208,French #30,Rest_30,0,NA
4.5,4.7,24,20,$$,12,19.261,24,1451,French #31,Rest_31,0,NA
4,4.2,153,45,$$$,12,19.253,24,1450,French #32,Rest_32,0,NA
4,3.9,161,20,$$,11.7,18.772,24,1429,French #33,Rest_33,0,NA
3,3.1,323,45,$$$,11.2,18.005,21,1283,French #34,Rest_34,0,NA
4,4.1,408,45,$$$,6.6,10.633,16,955,French #35,Rest_35,0,NA
4,4.1,964,45,$$$,5.6,9.092,19,1156,French #36,Rest_36,0,NA
3,2.9,195,20,$$,5.7,9.195,20,1175,French #37,Rest_37,0,NA
4,4.1,238,20,$$,18.3,29.394,32,1915,French #38,Rest_38,0,NA
3.5,3.7,86,20,$$,11.6,18.665,23,1355,French #39,Rest_39,0,NA
4.5,4.3,567,45,$$$,1.3,2.034,9,516,French #40,Rest_40,0,NA
4,4.2,864,80,$$$$,2.2,3.478,13,762,French #41,Rest_41,0,NA
4,3.9,825,45,$$$,1.5,2.453,10,607,French #42,Rest_42,0,NA
4,3.8,618,45,$$$,2,3.261,12,734,French #43,Rest_43,0,NA
3.5,3.7,819,20,$$,3.9,6.286,12,743,French #44,Rest_44,0,NA
3.5,3.6,263,45,$$$,1.3,2.157,9,535,French #45,Rest_45,0,NA
4,3.9,27,80,$$$$,1.5,2.458,10,598,French #46,Rest_46,0,NA
2.5,2.7,261,20,$$,3.1,4.97,13,758,French #47,Rest_47,0,NA
3.5,3.4,59,20,$$,6.8,11.009,16,976,French #48,Rest_48,0,NA
3.5,3.4,250,20,$$,14.6,23.546,24,1452,French #49,Rest_49,0,NA
4,4,202,20,$$,16.2,26.003,30,1782,French #50,Rest_50,0,NA
4,4.2,1209,80,$$$$,1.3,2.021,9,551,French #51,Rest_51,0,NA
4,3.8,130,45,$$$,1.5,2.476,9,563,French #52,Rest_52,0,NA
3.5,3.3,160,20,$$,1,1.542,7,391,French #53,Rest_53,0,NA
3,3,181,20,$$,1.6,2.608,10,587,French #54,Rest_54,0,NA
3.5,3.7,366,45,$$$,1.2,1.869,8,482,French #55,Rest_55,0,NA
3.5,3.6,421,45,$$$,1.1,1.775,7,424,French #56,Rest_56,0,NA
4,4.1,149,45,$$$,1.2,1.971,8,505,French #57,Rest_57,0,NA
4,4,161,45,$$$,2.7,4.348,10,594,French #58,Rest_58,0,NA
4,4,505,80,$$$$,2.6,4.225,10,599,French #59,Rest_59,0,NA
3,3,343,20,$$,8.2,13.179,17,1004,French #60,Rest_60,0,NA
3.5,3.7,99,20,$$,1,1.544,6,359,French #61,Rest_61,0,NA
4,3.9,73,45,$$$,0.4,0.603,3,197,French #62,Rest_62,0,NA
3,3,110,20,$$,17.5,28.12,27,1643,French #63,Rest_63,0,NA
2.5,2.6,66,45,$$$,14.3,23.009,27,1633,French #64,Rest_64,0,NA
3,3.1,165,20,$$,16.7,26.938,27,1620,French #65,Rest_65,0,NA
3.5,3.6,255,45,$$$,2.4,3.87,9,565,French #66,Rest_66,0,NA
4,3.9,334,45,$$$,6,9.711,15,925,French #67,Rest_67,0,NA
3.5,3.3,106,20,$$,12.7,20.506,24,1410,French #68,Rest_68,0,NA
3,3.2,210,20,$$,13.3,21.36,26,1549,French #69,Rest_69,0,NA
2.5,2.7,169,20,$$,12.8,20.542,24,1426,French #70,Rest_70,0,NA
3,2.8,333,20,$$,17.8,28.635,28,1708,French #71,Rest_71,0,NA
4,4.1,282,45,$$$,18.4,29.551,28,1681,French #72,Rest_72,0,NA
3,3,172,20,$$,12.8,20.557,24,1422,French #73,Rest_73,0,NA
3,2.9,137,20,$$,21.4,34.469,31,1834,French #74,Rest_74,0,NA
4.5,4.4,535,45,$$$,17.1,27.477,29,1728,French #75,Rest_75,0,NA
4,3.8,635,45,$$$,11.7,18.86,21,1277,French #76,Rest_76,0,NA
3.5,3.5,350,45,$$$,10.1,16.327,21,1258,French #77,Rest_77,0,NA
3,2.9,392,20,$$,11.1,17.918,22,1294,French #78,Rest_78,0,NA
4,4,48,20,$$,20.5,32.93,35,2080,French #79,Rest_79,0,NA
4,4,438,80,$$$$,11.2,18.096,22,1345,French #80,Rest_80,0,NA
4,4.1,959,80,$$$$,11.1,17.844,21,1253,French #81,Rest_81,0,NA
3,3.1,193,45,$$$,11.3,18.211,19,1160,French #82,Rest_82,0,NA
3.5,3.7,238,45,$$$,21.6,34.736,34,2042,French #83,Rest_83,0,NA
4,3.9,534,45,$$$,8.9,14.381,19,1126,French #84,Rest_84,0,NA
3,2.9,79,20,$$,13.9,22.333,23,1350,French #85,Rest_85,0,NA
4,4.2,55,45,$$$,18.9,30.374,32,1926,French #86,Rest_86,0,NA
3.5,3.5,98,20,$$,20.5,33.051,31,1883,French #87,Rest_87,0,NA
2.5,2.5,88,20,$$,10.1,16.266,20,1184,French #88,Rest_88,0,NA
4,3.8,17,20,$$,16,25.805,28,1686,French #89,Rest_89,0,NA
3.5,3.6,157,45,$$$,15.9,25.582,26,1582,French #90,Rest_90,0,NA
3,2.9,29,20,$$,16,25.672,27,1621,French #91,Rest_91,0,NA
4,3.9,50,10,$,8.1,13.023,20,1222,French #92,Rest_92,0,NA
4,4.1,23,20,$$,6.3,10.075,18,1104,French #93,Rest_93,0,NA
4,4,38,20,$$,6.3,10.097,18,1104,French #94,Rest_94,0,NA
4,3.9,738,45,$$$,8.1,12.983,26,1558,French #95,Rest_95,0,NA
5,5,2,45,$$$,9.6,15.513,23,1394,French #96,Rest_96,0,NA
4,4.1,135,20,$$,7.6,12.198,18,1104,French #97,Rest_97,0,NA
3.5,3.5,29,20,$$,7.7,12.321,19,1116,French #98,Rest_98,0,NA
4,4.2,205,20,$$,7.1,11.424,18,1072,French #99,Rest_99,0,NA
4.5,4.3,82,20,$$,7.1,11.504,18,1086,French #100,Rest_100,0,NA
3.5,3.7,282,20,$$,6.6,10.613,17,992,French #101,Rest_101,0,NA
3.5,3.5,228,20,$$,6.7,10.83,16,982,French #102,Rest_102,0,NA
4,4.1,281,20,$$,6.6,10.69,16,979,French #103,Rest_103,0,NA
4,4.2,11,45,$$$,7.1,11.358,20,1195,French #104,Rest_104,0,NA
5,5,14,45,$$$,7.8,12.618,24,1416,French #105,Rest_105,0,NA
4,4.2,245,20,$$,6.9,11.168,23,1364,French #106,Rest_106,0,NA
4,4.1,27,20,$$,7.9,12.644,23,1385,French #107,Rest_107,0,NA
4,4,249,20,$$,6.9,11.157,23,1380,French #108,Rest_108,0,NA
4,4,422,20,$$,7,11.194,23,1384,French #109,Rest_109,0,NA
4,3.8,332,20,$$,6.9,11.109,23,1384,French #110,Rest_110,0,NA
3.5,3.7,44,20,$$,6.7,10.806,22,1297,French #111,Rest_111,0,NA
3.5,3.5,412,20,$$,7.3,11.699,24,1420,French #112,Rest_112,0,NA
3.5,3.4,83,10,$,6.9,11.122,22,1332,French #113,Rest_113,0,NA
4,3.9,131,20,$$,14.7,23.657,27,1624,French #114,Rest_114,0,NA
4.5,4.3,101,20,$$,8.3,13.401,21,1235,French #115,Rest_115,0,NA
4,4.1,132,20,$$,8.3,13.323,20,1199,French #116,Rest_116,0,NA
3.5,3.6,1236,45,$$$,6.5,10.532,16,973,French #117,Rest_117,0,NA
4.5,4.6,91,20,$$,4.8,7.683,15,887,French #118,Rest_118,0,NA
5,4.8,8,10,$,5.8,9.274,16,964,French #119,Rest_119,0,NA
4,4,195,20,$$,5.7,9.146,19,1144,French #120,Rest_120,0,NA
3.5,3.7,199,20,$$,5.9,9.52,19,1162,French #121,Rest_121,0,NA
3.5,3.5,248,20,$$,7,11.211,19,1151,French #122,Rest_122,0,NA
4,4.2,132,20,$$,7.6,12.213,22,1315,French #123,Rest_123,0,NA
4,4,62,20,$$,9.4,15.202,22,1324,French #124,Rest_124,0,NA
4.5,4.6,81,20,$$,17.9,28.842,32,1898,French #125,Rest_125,0,NA
