rat_round,rat,r_cnt,price,price_$,dist_mi,dist_km,time_min,time_sec,name,id,score,rank
2.5,2.6,66,45,$$$,20,31.421,33,1958,Restaurant 1,Rest_01,0,0
2.5,2.3,8,20,$$,20,32.775,33,1964,Restaurant 2,Rest_02,0,0
2,1.8,198,20,$$,18,28.951,32,1900,Restaurant 3,Rest_03,0,0
4,4.1,96,20,$$,25,40.851,37,2245,Restaurant 4,Rest_04,0,0
2,2.1,134,20,$$,18,28.825,31,1844,Restaurant 5,Rest_05,0,0
4,4,48,20,$$,23,37.552,37,2210,Restaurant 6,Rest_06,0,0
4,4.1,166,45,$$$,20,31.718,32,1906,Restaurant 7,Rest_07,0,0
3.5,3.7,238,45,$$$,19,30.057,30,1774,Restaurant 8,Rest_08,0,0
2.5,2.7,169,20,$$,18,28.766,31,1882,Restaurant 9,Rest_09,0,0
4,3.9,23,20,$$,20,32.256,35,2116,Restaurant 10,Rest_10,0,0
3.5,3.7,21,20,$$,20,31.777,33,1997,Restaurant 11,Rest_11,0,0
3.5,3.5,99,20,$$,20,31.547,33,1974,Restaurant 12,Rest_12,0,0
3.5,3.4,7,20,$$,18,28.742,32,1902,Restaurant 13,Rest_13,0,0
3,3.2,210,20,$$,18,29.584,33,2005,Restaurant 14,Rest_14,0,0
4,4,202,20,$$,21,33.862,36,2152,Restaurant 15,Rest_15,0,0
3.5,3.3,106,20,$$,18,28.73,31,1865,Restaurant 16,Rest_16,0,0
4,4.2,55,45,$$$,16,25.695,28,1657,Restaurant 17,Rest_17,0,0
3.5,3.4,123,20,$$,19,30.257,30,1799,Restaurant 18,Rest_18,0,0
3,2.9,98,20,$$,18,28.386,26,1550,Restaurant 19,Rest_19,0,0
3.5,3.5,50,20,$$,18,28.596,30,1786,Restaurant 20,Rest_20,0,0
3.5,3.7,146,20,$$,19,29.845,31,1888,Restaurant 21,Rest_21,0,0
4.5,4.4,535,45,$$$,20,32.093,31,1848,Restaurant 22,Rest_22,0,0
4,4.1,125,80,$$$$,9,14.06,16,989,Restaurant 23,Rest_23,0,0
3,2.9,137,20,$$,17,27.83,24,1468,Restaurant 24,Rest_24,0,0
3,2.9,95,20,$$,15,24.586,26,1579,Restaurant 25,Rest_25,0,0
3.5,3.7,355,20,$$,20,32.378,32,1922,Restaurant 26,Rest_26,0,0
2.5,2.7,70,20,$$,13,21.272,27,1597,Restaurant 27,Rest_27,0,0
3.5,3.4,132,20,$$,17,26.766,29,1752,Restaurant 28,Rest_28,0,0
3,3,172,20,$$,16,26.249,27,1608,Restaurant 29,Rest_29,0,0
3.5,3.3,3,20,$$,16,26.519,25,1501,Restaurant 30,Rest_30,0,0
3.5,3.5,98,20,$$,18,28.372,27,1614,Restaurant 31,Rest_31,0,0
2,2.2,128,20,$$,13,21.003,22,1332,Restaurant 32,Rest_32,0,0
3.5,3.6,157,45,$$$,13,20.903,22,1313,Restaurant 33,Rest_33,0,0
4,3.8,606,45,$$$,16,25.614,28,1694,Restaurant 34,Rest_34,0,0
3.5,3.4,28,20,$$,15,23.865,26,1588,Restaurant 35,Rest_35,0,0
4,4.2,16,45,$$$,12,19.519,24,1460,Restaurant 36,Rest_36,0,0
2.5,2.7,158,20,$$,13,21.5,25,1488,Restaurant 37,Rest_37,0,0
3.5,3.7,161,20,$$,18,28.521,28,1656,Restaurant 38,Rest_38,0,0
2.5,2.5,88,20,$$,13,20.73,22,1314,Restaurant 39,Rest_39,0,0
2.5,2.3,335,20,$$,14,22.561,24,1420,Restaurant 40,Rest_40,0,0
4,4,438,80,$$$$,9,14.519,18,1051,Restaurant 41,Rest_41,0,0
4,4,59,80,$$$$,5,8.441,15,882,Restaurant 42,Rest_42,0,0
3.5,3.6,40,20,$$,16,25.484,26,1570,Restaurant 43,Rest_43,0,0
4,3.8,83,20,$$,17,27.636,26,1582,Restaurant 44,Rest_44,0,0
3,2.9,29,20,$$,13,20.993,23,1354,Restaurant 45,Rest_45,0,0
3.5,3.4,516,20,$$,18,28.276,31,1836,Restaurant 46,Rest_46,0,0
2.5,2.3,111,20,$$,12,20.044,19,1163,Restaurant 47,Rest_47,0,0
3.5,3.4,253,20,$$,16,25.11,27,1621,Restaurant 48,Rest_48,0,0
3.5,3.5,47,20,$$,14,22.591,26,1541,Restaurant 49,Rest_49,0,0
5,5,2,45,$$$,13,21.205,26,1579,Restaurant 50,Rest_50,0,0
4,3.9,27,80,$$$$,4,6.192,12,715,Restaurant 51,Rest_51,0,0
3.5,3.7,86,20,$$,15,24.357,26,1541,Restaurant 52,Rest_52,0,0
4,4.1,282,45,$$$,14,22.912,22,1316,Restaurant 53,Rest_53,0,0
3,2.8,221,20,$$,13,21.364,23,1387,Restaurant 54,Rest_54,0,0
3.5,3.7,283,20,$$,17,27.768,26,1588,Restaurant 55,Rest_55,0,0
3,3,495,20,$$,16,25.601,26,1565,Restaurant 56,Rest_56,0,0
4,3.9,52,20,$$,15,24.32,26,1538,Restaurant 57,Rest_57,0,0
3,3,110,20,$$,13,21.481,21,1278,Restaurant 58,Rest_58,0,0
3.5,3.7,389,20,$$,17,27.188,28,1702,Restaurant 59,Rest_59,0,0
4,3.9,34,20,$$,15,24.151,25,1514,Restaurant 60,Rest_60,0,0
4.5,4.5,2,20,$$,18,28.213,26,1554,Restaurant 61,Rest_61,0,0
4,4.1,201,20,$$,17,27.701,27,1601,Restaurant 62,Rest_62,0,0
4,3.9,69,20,$$,16,25.688,24,1427,Restaurant 63,Rest_63,0,0
3.5,3.3,60,20,$$,13,21.002,22,1340,Restaurant 64,Rest_64,0,0
4.5,4.5,54,80,$$$$,5,8.11,13,808,Restaurant 65,Rest_65,0,0
4,3.9,164,20,$$,15,24.612,26,1582,Restaurant 66,Rest_66,0,0
3.5,3.4,50,20,$$,13,21.334,22,1340,Restaurant 67,Rest_67,0,0
3.5,3.7,7,20,$$,14,22.054,23,1404,Restaurant 68,Rest_68,0,0
3,2.8,333,20,$$,14,21.996,22,1342,Restaurant 69,Rest_69,0,0
4,3.9,534,45,$$$,14,21.814,24,1423,Restaurant 70,Rest_70,0,0
2.5,2.3,26,20,$$,9,14.727,18,1050,Restaurant 71,Rest_71,0,0
4.5,4.5,83,20,$$,17,27.907,26,1589,Restaurant 72,Rest_72,0,0
3.5,3.3,303,45,$$$,9,14.325,20,1172,Restaurant 73,Rest_73,0,0
4,3.9,402,20,$$,17,27.012,28,1681,Restaurant 74,Rest_74,0,0
3.5,3.6,50,20,$$,14,22.501,22,1292,Restaurant 75,Rest_75,0,0
4,3.8,17,20,$$,13,21.126,24,1417,Restaurant 76,Rest_76,0,0
3,3.1,193,45,$$$,8,13.532,15,893,Restaurant 77,Rest_77,0,0
4.5,4.3,346,45,$$$,13,21.071,22,1328,Restaurant 78,Rest_78,0,0
3,3.1,165,20,$$,13,20.299,21,1254,Restaurant 79,Rest_79,0,0
3,3.2,35,20,$$,12,20.111,19,1151,Restaurant 80,Rest_80,0,0
2.5,2.7,3,20,$$,10,15.699,18,1063,Restaurant 81,Rest_81,0,0
3,3.1,323,45,$$$,9,14.428,16,989,Restaurant 82,Rest_82,0,0
4.5,4.3,41,20,$$,15,23.989,25,1499,Restaurant 83,Rest_83,0,0
3,3.1,14,20,$$,11,17.321,19,1144,Restaurant 84,Rest_84,0,0
3.5,3.4,82,20,$$,13,20.454,20,1213,Restaurant 85,Rest_85,0,0
3,2.9,79,20,$$,11,17.654,18,1081,Restaurant 86,Rest_86,0,0
4.5,4.3,171,20,$$,15,24.573,26,1578,Restaurant 87,Rest_87,0,0
4.5,4.6,14,20,$$,15,24.369,26,1543,Restaurant 88,Rest_88,0,0
3.5,3.5,29,20,$$,11,18.013,22,1301,Restaurant 89,Rest_89,0,0
4.5,4.7,21,20,$$,15,24.585,26,1579,Restaurant 90,Rest_90,0,0
3.5,3.6,316,20,$$,13,21.165,26,1544,Restaurant 91,Rest_91,0,0
2.5,2.6,8,20,$$,9,14.171,16,972,Restaurant 92,Rest_92,0,0
4,3.9,203,20,$$,14,22.881,24,1445,Restaurant 93,Rest_93,0,0
3.5,3.4,173,45,$$$,8,12.128,16,934,Restaurant 94,Rest_94,0,0
3.5,3.4,30,20,$$,12,18.527,19,1168,Restaurant 95,Rest_95,0,0
4,3.8,162,20,$$,14,22.058,23,1356,Restaurant 96,Rest_96,0,0
4,4.2,153,45,$$$,9,14.574,20,1182,Restaurant 97,Rest_97,0,0
3.5,3.5,44,20,$$,10,15.638,23,1374,Restaurant 98,Rest_98,0,0
4,4,244,20,$$,14,22.229,26,1541,Restaurant 99,Rest_99,0,0
4,4.1,238,20,$$,14,22.755,26,1549,Restaurant 100,Rest_100,0,0
3.5,3.5,65,20,$$,12,20.054,19,1134,Restaurant 101,Rest_101,0,0
4.5,4.4,129,20,$$,15,23.984,25,1484,Restaurant 102,Rest_102,0,0
4.5,4.4,95,20,$$,14,21.998,25,1516,Restaurant 103,Rest_103,0,0
3.5,3.7,312,20,$$,14,22.056,23,1364,Restaurant 104,Rest_104,0,0
3.5,3.3,3,20,$$,10,15.682,18,1085,Restaurant 105,Rest_105,0,0
4.5,4.6,81,20,$$,14,22.203,26,1532,Restaurant 106,Rest_106,0,0
4,4.1,959,80,$$$$,9,14.267,16,959,Restaurant 107,Rest_107,0,0
3.5,3.7,213,45,$$$,7,12.025,16,973,Restaurant 108,Rest_108,0,0
4.5,4.5,104,20,$$,14,22.333,24,1416,Restaurant 109,Rest_109,0,0
4,4.1,408,45,$$$,10,16.325,19,1140,Restaurant 110,Rest_110,0,0
3.5,3.5,350,45,$$$,7,11.648,17,990,Restaurant 111,Rest_111,0,0
3.5,3.6,8,20,$$,11,17.146,18,1079,Restaurant 112,Rest_112,0,0
4,4.1,132,20,$$,12,19.015,23,1384,Restaurant 113,Rest_113,0,0
4.5,4.3,101,20,$$,12,19.093,24,1418,Restaurant 114,Rest_114,0,0
4,4.2,28,20,$$,12,18.509,21,1282,Restaurant 115,Rest_115,0,0
4,3.8,130,45,$$$,6,9.906,15,877,Restaurant 116,Rest_116,0,0
4.5,4.3,134,20,$$,13,21.004,22,1324,Restaurant 117,Rest_117,0,0
3.5,3.3,24,20,$$,9,14.285,17,994,Restaurant 118,Rest_118,0,0
4,3.9,73,45,$$$,4,7.147,16,973,Restaurant 119,Rest_119,0,0
4,3.8,97,45,$$$,5,8.41,15,876,Restaurant 120,Rest_120,0,0
4,4.1,10,45,$$$,5,8.376,15,922,Restaurant 121,Rest_121,0,0
4,4,505,80,$$$$,3,5.102,10,604,Restaurant 122,Rest_122,0,0
3,2.9,195,20,$$,6,10.072,20,1180,Restaurant 123,Rest_123,0,0
4,3.9,131,20,$$,11,17.018,21,1256,Restaurant 124,Rest_124,0,0
4.5,4.3,23,20,$$,11,17.944,21,1282,Restaurant 125,Rest_125,0,0
4,4.2,11,45,$$$,4,7.153,17,1009,Restaurant 126,Rest_126,0,0
4,3.9,298,45,$$$,7,11.953,16,958,Restaurant 127,Rest_127,0,0
4,4.1,497,20,$$,15,24.852,23,1391,Restaurant 128,Rest_128,0,0
3.5,3.5,228,20,$$,10,16.522,19,1165,Restaurant 129,Rest_129,0,0
4,4.1,135,20,$$,11,17.89,21,1288,Restaurant 130,Rest_130,0,0
3.5,3.6,255,45,$$$,5,7.599,16,949,Restaurant 131,Rest_131,0,0
3.5,3.3,124,20,$$,9,14.207,17,1014,Restaurant 132,Rest_132,0,0
3.5,3.4,250,20,$$,11,16.907,18,1084,Restaurant 133,Rest_133,0,0
2.5,2.6,150,20,$$,6,9.877,14,866,Restaurant 134,Rest_134,0,0
3,3.2,143,20,$$,9,13.792,16,960,Restaurant 135,Rest_135,0,0
4.5,4.3,82,20,$$,11,17.196,21,1271,Restaurant 136,Rest_136,0,0
4,4.1,50,20,$$,9,14.454,20,1222,Restaurant 137,Rest_137,0,0
3.5,3.7,181,20,$$,10,16.155,18,1079,Restaurant 138,Rest_138,0,0
4,3.8,176,20,$$,9,14.244,20,1222,Restaurant 139,Rest_139,0,0
3,2.9,156,20,$$,7,11.054,15,881,Restaurant 140,Rest_140,0,0
3.5,3.7,282,20,$$,10,16.305,20,1177,Restaurant 141,Rest_141,0,0
3,3,6,20,$$,6,8.891,14,836,Restaurant 142,Rest_142,0,0
3.5,3.3,80,20,$$,7,11.532,16,950,Restaurant 143,Rest_143,0,0
3,3.1,392,20,$$,9,14.057,18,1108,Restaurant 144,Rest_144,0,0
4,3.8,635,45,$$$,9,14.181,17,1009,Restaurant 145,Rest_145,0,0
3,2.9,392,20,$$,8,13.239,17,1026,Restaurant 146,Rest_146,0,0
3.5,3.7,52,20,$$,9,13.759,17,991,Restaurant 147,Rest_147,0,0
3.5,3.7,202,45,$$$,4,6.072,14,818,Restaurant 148,Rest_148,0,0
4,3.8,597,20,$$,14,22.06,22,1292,Restaurant 149,Rest_149,0,0
4,4.2,205,20,$$,11,17.116,21,1256,Restaurant 150,Rest_150,0,0
3,3,181,20,$$,7,11.046,15,899,Restaurant 151,Rest_151,0,0
4,4.2,864,80,$$$$,5,7.712,13,756,Restaurant 152,Rest_152,0,0
5,5,14,45,$$$,5,7.622,19,1150,Restaurant 153,Rest_153,0,0
4,3.9,161,20,$$,9,14.093,19,1160,Restaurant 154,Rest_154,0,0
4,4,125,45,$$$,5,7.483,12,740,Restaurant 155,Rest_155,0,0
4,4.2,52,20,$$,10,15.746,18,1075,Restaurant 156,Rest_156,0,0
3.5,3.6,66,20,$$,8,13.342,15,892,Restaurant 157,Rest_157,0,0
4.5,4.4,477,80,$$$$,2,2.83,9,559,Restaurant 158,Rest_158,0,0
4.5,4.4,97,45,$$$,5,8.232,14,854,Restaurant 159,Rest_159,0,0
4.5,4.2,944,80,$$$$,5,7.624,13,791,Restaurant 160,Rest_160,0,0
3.5,3.5,2,20,$$,4,6.381,18,1109,Restaurant 161,Rest_161,0,0
3,3,312,20,$$,8,12.142,16,932,Restaurant 162,Rest_162,0,0
4,4,38,20,$$,7,10.974,20,1171,Restaurant 163,Rest_163,0,0
3,3.1,120,20,$$,6,10.416,14,824,Restaurant 164,Rest_164,0,0
3.5,3.6,263,45,$$$,4,5.959,12,744,Restaurant 165,Rest_165,0,0
4,4.2,92,20,$$,10,16.083,18,1067,Restaurant 166,Rest_166,0,0
4,4,178,45,$$$,4,5.965,14,833,Restaurant 167,Rest_167,0,0
4.5,4.3,65,45,$$$,4,6.11,14,821,Restaurant 168,Rest_168,0,0
4,3.9,348,45,$$$,5,8.439,14,846,Restaurant 169,Rest_169,0,0
3.5,3.4,297,20,$$,8,13.07,17,1008,Restaurant 170,Rest_170,0,0
3,3.2,21,20,$$,5,7.947,14,810,Restaurant 171,Rest_171,0,0
4,3.8,318,20,$$,10,15.793,18,1092,Restaurant 172,Rest_172,0,0
4,4,284,45,$$$,5,8.188,13,784,Restaurant 173,Rest_173,0,0
4,4.1,281,20,$$,10,16.382,19,1163,Restaurant 174,Rest_174,0,0
4,4.1,680,45,$$$,9,14.56,17,1002,Restaurant 175,Rest_175,0,0
4,4.1,23,20,$$,7,10.952,18,1108,Restaurant 176,Rest_176,0,0
4,3.9,738,45,$$$,5,8.244,21,1274,Restaurant 177,Rest_177,0,0
4,4.1,149,45,$$$,4,5.951,12,733,Restaurant 178,Rest_178,0,0
4,3.9,318,45,$$$,5,7.363,13,757,Restaurant 179,Rest_179,0,0
3.5,3.6,243,20,$$,8,13.651,15,929,Restaurant 180,Rest_180,0,0
4.5,4.7,24,20,$$,9,14.582,20,1182,Restaurant 181,Rest_181,0,0
4,3.8,95,20,$$,8,12.127,15,914,Restaurant 182,Rest_182,0,0
3,3,330,20,$$,7,10.833,14,848,Restaurant 183,Rest_183,0,0
3,3.1,541,20,$$,8,13.2,17,1021,Restaurant 184,Rest_184,0,0
3,3,159,20,$$,5,7.818,13,750,Restaurant 185,Rest_185,0,0
3.5,3.6,421,45,$$$,4,7.238,11,660,Restaurant 186,Rest_186,0,0
3.5,3.7,99,20,$$,6,9.204,16,960,Restaurant 187,Rest_187,0,0
3.5,3.5,445,20,$$,9,14.542,17,1004,Restaurant 188,Rest_188,0,0
3,3.1,50,20,$$,4,6.472,12,710,Restaurant 189,Rest_189,0,0
3.5,3.6,263,20,$$,8,12.203,16,941,Restaurant 190,Rest_190,0,0
3.5,3.5,17,20,$$,5,7.92,13,792,Restaurant 191,Rest_191,0,0
4,4.2,1209,80,$$$$,5,8.167,14,839,Restaurant 192,Rest_192,0,0
4,4.2,45,20,$$,7,11.687,17,997,Restaurant 193,Rest_193,0,0
3.5,3.7,366,45,$$$,4,6.974,10,625,Restaurant 194,Rest_194,0,0
4.5,4.3,98,20,$$,7,11.581,19,1118,Restaurant 195,Rest_195,0,0
4.5,4.4,489,20,$$,12,19.246,21,1267,Restaurant 196,Rest_196,0,0
3,3.2,577,20,$$,8,13.417,17,1045,Restaurant 197,Rest_197,0,0
4,4.1,27,20,$$,5,7.251,19,1144,Restaurant 198,Rest_198,0,0
3.5,3.7,44,20,$$,4,6.067,17,1013,Restaurant 199,Rest_199,0,0
3.5,3.6,77,20,$$,5,8.843,14,853,Restaurant 200,Rest_200,0,0
2.5,2.7,261,20,$$,4,5.847,13,763,Restaurant 201,Rest_201,0,0
4,4,161,45,$$$,3,5.225,10,599,Restaurant 202,Rest_202,0,0
3.5,3.6,1236,45,$$$,10,16.224,19,1158,Restaurant 203,Rest_203,0,0
3,3.2,248,20,$$,5,8.164,14,851,Restaurant 204,Rest_204,0,0
3.5,3.3,521,20,$$,8,12.947,17,990,Restaurant 205,Rest_205,0,0
3.5,3.5,401,20,$$,8,12.538,16,962,Restaurant 206,Rest_206,0,0
4.5,4.3,120,45,$$$,3,4.641,11,678,Restaurant 207,Rest_207,0,0
4,4,126,45,$$$,2,3.48,10,578,Restaurant 208,Rest_208,0,0
3.5,3.6,29,20,$$,4,6.646,14,829,Restaurant 209,Rest_209,0,0
4.5,4.4,181,20,$$,8,13.24,18,1100,Restaurant 210,Rest_210,0,0
4,4.2,100,45,$$$,3,4.145,10,602,Restaurant 211,Rest_211,0,0
3.5,3.7,91,20,$$,5,8.199,15,870,Restaurant 212,Rest_212,0,0
4,4,62,20,$$,5,8.563,16,956,Restaurant 213,Rest_213,0,0
3.5,3.3,544,20,$$,8,13.6,16,932,Restaurant 214,Rest_214,0,0
3.5,3.3,160,20,$$,5,7.953,12,731,Restaurant 215,Rest_215,0,0
5,5,1,20,$$,9,15.025,18,1055,Restaurant 216,Rest_216,0,0
3.5,3.5,55,20,$$,4,5.953,13,797,Restaurant 217,Rest_217,0,0
3.5,3.6,21,20,$$,4,6.569,13,760,Restaurant 218,Rest_218,0,0
3.5,3.5,114,20,$$,5,7.39,13,782,Restaurant 219,Rest_219,0,0
4,4,590,45,$$$,5,7.932,14,860,Restaurant 220,Rest_220,0,0
3.5,3.5,248,20,$$,4,7.006,16,965,Restaurant 221,Rest_221,0,0
4,4.2,17,20,$$,5,7.585,17,990,Restaurant 222,Rest_222,0,0
3.5,3.6,182,20,$$,5,8.209,14,846,Restaurant 223,Rest_223,0,0
3.5,3.4,135,20,$$,4,5.946,13,796,Restaurant 224,Rest_224,0,0
3,3.2,296,20,$$,4,6.678,14,846,Restaurant 225,Rest_225,0,0
3.5,3.5,412,20,$$,4,6.96,19,1136,Restaurant 226,Rest_226,0,0
